SID,SEASON,GEN_TIME,GEN_LAT,GEN_LON,GEN_NATURE,MAX_TIME,MAX_LAT,MAX_LON,MAX_INTENSITY_KT
1842298N11080,1842,1842-10-25 03:00:00,10.9,80.3,NR,,,,
1845336N10074,1845,1845-12-02 03:00:00,10.0,74.3,NR,,,,
1848011S09079,1848,1848-01-11 06:00:00,-9.0,79.0,NR,,,,
1848011S09080,1848,1848-01-11 06:00:00,-8.6,79.8,NR,,,,
1848011S15057,1848,1848-01-11 06:00:00,-15.2,57.4,NR,,,,
1848011S16057,1848,1848-01-11 06:00:00,-15.8,56.8,NR,,,,
1848061S12075,1848,1848-02-29 18:00:00,-11.5,75.0,NR,,,,
1848112S07084,1848,1848-04-21 06:00:00,-6.7,83.8,NR,,,,
1848112S07444,1848,1848-04-20 18:00:00,-7.1,83.7,NR,,,,
1851080S15062,1851,1851-03-20 18:00:00,-15.0,62.4,NR,,,,
1851080S15063,1851,1851-03-21 06:00:00,-15.1,62.5,NR,,,,
1851080S21060,1851,1851-03-21 06:00:00,-21.2,59.5,NR,,,,
1851080S21420,1851,1851-03-20 18:00:00,-21.3,59.5,NR,,,,
1851175N26270,1851,1851-06-23 12:00:00,26.1,-90.4,TS,1851-06-25 00:00:00,27.5,-94.3,80.0
1851181N19275,1851,1851-06-29 12:00:00,19.0,-84.6,TS,,,,
1851187N22262,1851,1851-07-05 12:00:00,22.2,-97.6,TS,1851-07-05 12:00:00,22.2,-97.6,80.0
1851192N12300,1851,1851-07-10 12:00:00,12.0,-60.0,TS,1851-07-10 12:00:00,12.0,-60.0,50.0
1851214N14321,1851,1851-08-01 12:00:00,13.5,-39.0,TS,,,,
1851228N13313,1851,1851-08-16 00:00:00,13.4,-47.2,TS,1851-08-23 00:00:00,27.4,-86.4,100.0
1851241N27280,1851,1851-08-28 12:00:00,27.0,-80.0,TS,,,,
1851250N20278,1851,1851-09-06 12:00:00,20.0,-82.0,TS,,,,
1851254N34316,1851,1851-09-10 12:00:00,34.2,-44.2,TS,,,,
1851256N26265,1851,1851-09-12 12:00:00,25.5,-95.5,TS,,,,
1851256N33287,1851,1851-09-13 00:00:00,32.5,-73.5,TS,1851-09-13 00:00:00,32.5,-73.5,50.0
1851260N32298,1851,1851-09-16 12:00:00,31.5,-62.5,TS,,,,
1851283N24298,1851,1851-10-09 12:00:00,23.7,-61.6,TS,,,,
1851289N29282,1851,1851-10-16 00:00:00,28.7,-78.0,TS,1851-10-17 00:00:00,30.7,-76.6,60.0
1851305S08089,1852,1851-11-01 06:00:00,-8.3,88.6,NR,,,,
1851309N19282,1851,1851-11-04 12:00:00,19.1,-77.6,TS,,,,
1852001S12077,1852,1852-01-01 06:00:00,-12.2,77.3,NR,,,,
1852001S13076,1852,1852-01-01 06:00:00,-12.7,76.3,NR,,,,
1852021S14075,1852,1852-01-21 06:00:00,-13.8,75.3,NR,,,,
1852232N21293,1852,1852-08-19 00:00:00,20.6,-67.3,TS,1852-08-24 00:00:00,26.1,-85.7,100.0
1852241N34278,1852,1852-08-28 06:00:00,33.6,-82.5,TS,,,,
1852247N14309,1852,1852-09-03 06:00:00,14.0,-51.2,TS,1852-09-09 00:00:00,25.1,-85.3,70.0
1852247N32318,1852,1852-09-02 12:00:00,32.0,-42.5,TS,,,,
1852249N17296,1852,1852-09-05 00:00:00,17.0,-64.1,TS,1852-09-05 00:00:00,17.0,-64.1,70.0
1852264N13309,1852,1852-09-20 00:00:00,13.0,-50.6,TS,1852-09-25 00:00:00,19.6,-66.7,80.0
1852266N17274,1852,1852-09-21 12:00:00,16.8,-86.1,TS,,,,
1852271N15328,1852,1852-09-26 12:00:00,15.0,-31.9,TS,,,,
1852273N11295,1852,1852-09-28 12:00:00,11.0,-65.5,TS,,,,
1852278N14293,1852,1852-10-03 12:00:00,14.0,-67.0,TS,1852-10-06 00:00:00,17.2,-75.9,90.0
1852331N24274,1852,1852-11-26 00:00:00,23.5,-86.2,TS,,,,
1853216N26294,1853,1853-08-03 12:00:00,25.5,-66.5,TS,1853-08-05 12:00:00,33.3,-69.2,50.0
1853223N12300,1853,1853-08-10 12:00:00,12.0,-60.0,TS,1853-08-10 12:00:00,12.0,-60.0,40.0
1853228N14322,1853,1853-08-15 12:00:00,14.4,-38.5,TS,,,,
1853238N18281,1853,1853-08-25 12:00:00,17.6,-78.7,TS,,,,
1853239N11302,1853,1853-08-26 12:00:00,10.5,-58.5,TS,,,,
1853242N12336,1853,1853-08-30 00:00:00,11.8,-23.9,TS,1853-09-03 06:00:00,18.6,-54.5,130.0
1853245N34311,1853,1853-09-02 00:00:00,33.5,-49.0,TS,,,,
1853251N24274,1853,1853-09-07 12:00:00,23.8,-86.0,TS,,,,
1853251N37307,1853,1853-09-08 00:00:00,37.0,-53.0,TS,1853-09-08 00:00:00,37.0,-53.0,100.0
1853264N20268,1853,1853-09-20 12:00:00,19.5,-92.5,TS,1853-09-21 12:00:00,20.3,-94.7,50.0
1853268N27293,1853,1853-09-24 12:00:00,26.5,-67.5,TS,,,,
1853269N26298,1853,1853-09-26 00:00:00,25.8,-62.0,TS,1853-09-27 12:00:00,36.0,-59.8,70.0
1853270N14327,1853,1853-09-26 12:00:00,14.4,-32.6,TS,1853-09-28 12:00:00,15.6,-37.0,50.0
1853291N32280,1853,1853-10-17 18:00:00,31.5,-80.5,SS,1853-10-20 12:00:00,29.8,-80.2,90.0
1853318N20288,1853,1853-11-13 12:00:00,20.5,-72.0,TS,,,,
1854032S17059,1854,1854-02-01 06:00:00,-17.3,59.3,NR,,,,
1854039S18060,1854,1854-02-07 18:00:00,-17.6,59.6,NR,,,,
1854060S15069,1854,1854-03-01 06:00:00,-15.3,69.0,NR,,,,
1854060S16069,1854,1854-02-28 18:00:00,-15.8,69.1,NR,,,,
1854176N26268,1854,1854-06-25 00:00:00,26.0,-92.5,TS,1854-06-25 12:00:00,25.6,-93.4,70.0
1854207N28267,1854,1854-07-25 12:00:00,27.8,-93.5,TS,,,,
1854236N33305,1854,1854-08-23 12:00:00,33.0,-55.0,TS,1854-08-23 12:00:00,33.0,-55.0,60.0
1854246N25300,1854,1854-09-02 12:00:00,24.5,-59.8,TS,1854-09-07 00:00:00,27.4,-76.6,110.0
1854253N14303,1854,1854-09-09 12:00:00,14.0,-57.5,TS,,,,
1854253N35280,1854,1854-09-10 06:00:00,35.4,-80.0,TS,,,,
1854258N13329,1854,1854-09-15 06:00:00,12.7,-31.0,TS,,,,
1854259N24266,1854,1854-09-16 06:00:00,24.4,-94.3,TS,1854-09-18 00:00:00,27.8,-95.5,90.0
1854279N12297,1854,1854-10-05 12:00:00,12.0,-62.8,TS,,,,
1854287N18296,1854,1854-10-13 12:00:00,17.5,-64.3,TS,,,,
1854293N25292,1854,1854-10-20 00:00:00,25.0,-67.6,TS,1854-10-21 00:00:00,28.6,-67.3,60.0
1854303N14072,1854,1854-10-30 03:00:00,13.7,72.2,NR,,,,
1854305S10073,1855,1854-10-31 18:00:00,-10.4,73.1,NR,,,,
1854309N22294,1854,1854-11-04 12:00:00,22.0,-65.8,TS,,,,
1854325S10073,1855,1854-11-21 06:00:00,-10.1,73.1,NR,,,,
1855021S14076,1855,1855-01-21 06:00:00,-14.0,75.6,NR,,,,
1855021S15057,1855,1855-01-21 06:00:00,-14.7,57.4,NR,,,,
1855121S08073,1855,1855-04-30 18:00:00,-7.8,73.2,NR,,,,
1855131S08073,1855,1855-05-11 06:00:00,-7.6,73.4,NR,,,,
1855206N22263,1855,1855-07-24 12:00:00,21.8,-97.0,TS,,,,
1855215N30272,1855,1855-08-03 06:00:00,30.1,-88.2,TS,,,,
1855219N22262,1855,1855-08-06 12:00:00,22.2,-98.0,TS,1855-08-06 12:00:00,22.2,-98.0,90.0
1855222N44318,1855,1855-08-10 00:00:00,44.0,-42.0,TS,1855-08-10 00:00:00,44.0,-42.0,90.0
1855224N13277,1855,1855-08-11 12:00:00,12.5,-83.0,TS,1855-08-11 12:00:00,12.5,-83.0,70.0
1855236N12304,1855,1855-08-24 00:00:00,11.6,-55.8,TS,1855-08-25 00:00:00,13.1,-60.2,60.0
1855244N12319,1855,1855-08-31 12:00:00,12.3,-41.1,TS,,,,
1855252N20274,1855,1855-09-08 18:00:00,19.9,-85.9,TS,1855-09-16 00:00:00,29.0,-89.3,110.0
1855263N24306,1855,1855-09-19 12:00:00,24.0,-54.0,TS,,,,
1855270N33309,1855,1855-09-26 12:00:00,33.4,-51.0,TS,,,,
1855308N24311,1855,1855-11-03 12:00:00,24.0,-48.8,TS,,,,
1856032S17058,1856,1856-02-01 06:00:00,-16.6,58.4,NR,,,,
1856092S16060,1856,1856-04-01 06:00:00,-15.5,59.8,NR,,,,
1856092S16420,1856,1856-03-31 18:00:00,-15.8,59.6,NR,,,,
1856221N25277,1856,1856-08-07 12:00:00,25.2,-83.5,TS,1856-08-10 12:00:00,28.7,-90.5,130.0
1856224N14330,1856,1856-08-11 00:00:00,14.0,-30.0,TS,,,,
1856226N11308,1856,1856-08-12 18:00:00,10.8,-52.5,TS,1856-08-13 00:00:00,11.6,-55.1,70.0
1856232N33285,1856,1856-08-19 00:00:00,32.5,-75.5,TS,1856-08-19 00:00:00,32.5,-75.5,50.0
1856235N13302,1856,1856-08-21 12:00:00,13.4,-58.0,TS,1856-08-30 00:00:00,25.5,-87.2,100.0
1856235N23278,1856,1856-08-21 12:00:00,23.0,-82.5,TS,1856-08-21 12:00:00,23.0,-82.5,50.0
1856246N35284,1856,1856-09-02 00:00:00,34.8,-76.5,TS,,,,
1856254N09333,1856,1856-09-10 06:00:00,9.0,-27.0,TS,1856-09-19 12:00:00,35.6,-51.0,70.0
1856266N40308,1856,1856-09-22 06:00:00,40.0,-52.2,TS,,,,
1856272N11336,1856,1856-09-27 12:00:00,11.4,-23.6,TS,,,,
1856287N31319,1856,1856-10-13 00:00:00,30.8,-40.6,TS,,,,
1857021S17059,1857,1857-01-21 06:00:00,-16.6,58.9,NR,,,,
1857032S15066,1857,1857-02-01 06:00:00,-15.0,66.1,NR,,,,
1857039S15066,1857,1857-02-07 18:00:00,-15.0,66.0,NR,,,,
1857174N26274,1857,1857-06-22 12:00:00,26.2,-86.5,TS,,,,
1857181N34286,1857,1857-06-30 00:00:00,34.0,-74.5,TS,1857-06-30 00:00:00,34.0,-74.5,50.0
1857185N25277,1857,1857-07-03 12:00:00,24.6,-83.1,TS,,,,
1857229N16276,1857,1857-08-16 12:00:00,15.8,-84.0,TS,,,,
1857230N10315,1857,1857-08-17 12:00:00,9.6,-45.5,TS,,,,
1857249N27286,1857,1857-09-05 12:00:00,26.8,-74.2,TS,1857-09-11 00:00:00,30.9,-76.2,90.0
1857251N13300,1857,1857-09-07 12:00:00,12.8,-60.0,TS,,,,
1857261N16301,1857,1857-09-17 12:00:00,16.0,-59.5,TS,,,,
1857265N33287,1857,1857-09-22 00:00:00,32.5,-73.5,TS,1857-09-22 00:00:00,32.5,-73.5,70.0
1857267N16305,1857,1857-09-24 00:00:00,16.0,-54.7,TS,1857-09-28 00:00:00,19.0,-82.9,90.0
1857279N18282,1857,1857-10-05 12:00:00,18.0,-78.0,TS,,,,
1857290N32325,1857,1857-10-16 12:00:00,32.0,-35.5,SS,,,,
1857313N17300,1857,1857-11-08 12:00:00,17.3,-60.5,TS,,,,
1857335S15062,1858,1857-12-01 06:00:00,-14.8,62.2,NR,,,,
1857335S15422,1858,1857-11-30 18:00:00,-15.0,61.8,NR,,,,
1857355S06086,1858,1857-12-21 06:00:00,-6.4,85.9,NR,,,,
1858011S09058,1858,1858-01-11 06:00:00,-9.0,57.7,NR,,,,
1858052S12061,1858,1858-02-21 06:00:00,-12.4,60.5,NR,,,,
1858060S12078,1858,1858-02-28 18:00:00,-12.3,78.2,NR,,,,
1858060S12079,1858,1858-03-01 06:00:00,-12.1,78.8,NR,,,,
1858091S12048,1858,1858-04-01 06:00:00,-12.3,48.1,NR,,,,
1858091S12408,1858,1858-03-31 18:00:00,-12.3,47.6,NR,,,,
1858162N17283,1858,1858-06-10 18:00:00,16.8,-77.0,TS,1858-06-12 12:00:00,19.3,-85.0,70.0
1858218N45320,1858,1858-08-05 12:00:00,45.0,-40.0,TS,1858-08-05 12:00:00,45.0,-40.0,70.0
1858224N27287,1858,1858-08-11 12:00:00,27.0,-73.0,TS,,,,
1858254N21273,1858,1858-09-11 06:00:00,21.5,-87.5,TS,1858-09-15 18:00:00,32.6,-78.0,90.0
1858257N15325,1858,1858-09-13 12:00:00,14.5,-35.5,TS,,,,
1858260N18319,1858,1858-09-17 00:00:00,18.4,-41.4,TS,1858-09-17 00:00:00,18.4,-41.4,80.0
1858263N25299,1858,1858-09-19 12:00:00,25.1,-61.2,TS,,,,
1858266N22286,1858,1858-09-22 12:00:00,21.9,-74.0,TS,1858-09-24 12:00:00,33.3,-73.8,80.0
1858289N24311,1858,1858-10-16 00:00:00,24.0,-49.4,TS,,,,
1858291N21287,1858,1858-10-18 00:00:00,20.5,-72.7,ET,1858-10-24 00:00:00,31.0,-66.0,90.0
1858298N37296,1858,1858-10-25 06:00:00,37.1,-64.3,ET,,,,
1858305S26053,1859,1858-10-31 18:00:00,-25.5,52.6,NR,,,,
1858319N12280,1858,1858-11-14 12:00:00,11.8,-79.6,TS,,,,
1858325S25052,1859,1858-11-21 06:00:00,-25.3,52.2,NR,,,,
1858345S08093,1859,1858-12-10 18:00:00,-8.0,93.3,NR,,,,
1858345S08094,1859,1858-12-11 06:00:00,-7.8,93.5,NR,,,,
1859021S14077,1859,1859-01-21 06:00:00,-14.2,77.3,NR,,,,
1859021S14078,1859,1859-01-21 06:00:00,-14.2,78.4,NR,,,,
1859042S32050,1859,1859-02-11 06:00:00,-31.6,50.4,NR,,,,
1859046S32051,1859,1859-02-14 18:00:00,-31.6,50.9,NR,,,,
1859060S08057,1859,1859-03-01 06:00:00,-8.2,56.6,NR,,,,
1859060S09057,1859,1859-02-28 18:00:00,-8.8,56.7,NR,,,,
1859070S05088,1859,1859-03-11 06:00:00,-4.5,88.4,NR,,,,
1859070S05448,1859,1859-03-10 18:00:00,-4.7,88.0,NR,,,,
1859101S10091,1859,1859-04-11 06:00:00,-10.4,90.5,NR,,,,
1859101S10451,1859,1859-04-10 18:00:00,-10.3,90.5,NR,,,,
1859152S05087,1859,1859-05-31 18:00:00,-4.7,87.0,NR,,,,
1859162S04088,1859,1859-06-11 06:00:00,-4.4,87.6,NR,,,,
1859172N18275,1859,1859-06-20 12:00:00,18.0,-85.4,NR,,,,
1859183N22263,1859,1859-07-01 12:00:00,21.5,-97.5,TS,1859-07-01 12:00:00,21.5,-97.5,90.0
1859224N28287,1859,1859-08-11 12:00:00,28.2,-73.2,TS,1859-08-17 00:00:00,38.4,-67.2,90.0
1859234N24275,1859,1859-08-21 12:00:00,24.0,-85.4,TS,,,,
1859236N13337,1859,1859-08-23 12:00:00,12.5,-23.5,TS,,,,
1859245N17300,1859,1859-09-02 00:00:00,17.3,-59.7,TS,1859-09-02 00:00:00,17.3,-59.7,70.0
1859249N11324,1859,1859-09-05 12:00:00,11.4,-36.0,TS,1859-09-12 06:00:00,36.2,-56.6,90.0
1859253N21275,1859,1859-09-09 12:00:00,20.7,-85.5,TS,1859-09-15 00:00:00,28.8,-88.4,70.0
1859272N15322,1859,1859-09-28 12:00:00,14.9,-38.3,TS,,,,
1859273N17289,1859,1859-09-29 12:00:00,16.5,-71.0,TS,1859-10-04 12:00:00,28.8,-72.0,110.0
1859277N22287,1859,1859-10-03 21:00:00,22.0,-72.6,TS,,,,
1859284N19293,1859,1859-10-10 12:00:00,19.0,-67.3,TS,,,,
1859289N25285,1859,1859-10-16 00:00:00,25.1,-75.1,TS,1859-10-16 00:00:00,25.1,-75.1,60.0
1859297N20267,1859,1859-10-23 12:00:00,20.0,-93.5,TS,1859-10-26 18:00:00,22.0,-92.5,80.0
1859312N13278,1859,1859-11-08 00:00:00,12.8,-82.4,TS,,,,
1859335S05090,1860,1859-11-30 18:00:00,-4.7,90.2,NR,,,,
1859335S05091,1860,1859-12-01 06:00:00,-4.6,90.7,NR,,,,
1859335S14043,1860,1859-11-30 18:00:00,-14.1,42.8,NR,,,,
1860011S13068,1860,1860-01-11 06:00:00,-13.4,68.3,NR,,,,
1860011S14067,1860,1860-01-11 06:00:00,-14.2,67.3,NR,,,,
1860011S15076,1860,1860-01-11 06:00:00,-14.7,76.1,NR,,,,
1860021S16057,1860,1860-01-21 06:00:00,-16.2,57.1,NR,,,,
1860039S17057,1860,1860-02-07 18:00:00,-17.3,56.7,NR,,,,
1860042S17057,1860,1860-02-11 06:00:00,-17.0,57.2,NR,,,,
1860052S10081,1860,1860-02-21 06:00:00,-9.8,80.7,NR,,,,
1860052S12105,1860,1860-02-21 06:00:00,-12.0,105.0,NR,,,,
1860052S14057,1860,1860-02-21 06:00:00,-13.9,56.9,NR,,,,
1860061S13085,1860,1860-03-01 06:00:00,-13.2,85.1,NR,,,,
1860061S13445,1860,1860-02-29 18:00:00,-13.4,84.6,NR,,,,
1860081S14069,1860,1860-03-21 06:00:00,-13.6,69.0,NR,,,,
1860081S14429,1860,1860-03-20 18:00:00,-13.7,68.7,NR,,,,
1860112S11085,1860,1860-04-20 18:00:00,-11.0,85.3,NR,,,,
1860112S11086,1860,1860-04-21 06:00:00,-10.9,85.7,NR,,,,
1860122S07087,1860,1860-05-01 06:00:00,-7.2,87.2,NR,,,,
1860122S07447,1860,1860-04-30 18:00:00,-7.3,86.7,NR,,,,
1860208N11301,1860,1860-07-25 12:00:00,11.0,-59.0,TS,,,,
1860221N28276,1860,1860-08-08 00:00:00,28.1,-84.1,TS,1860-08-11 12:00:00,28.5,-90.0,110.0
1860227N25311,1860,1860-08-13 12:00:00,25.1,-48.8,TS,,,,
1860227N26291,1860,1860-08-13 12:00:00,26.4,-69.2,TS,,,,
1860232N25291,1860,1860-08-18 12:00:00,25.0,-69.0,TS,,,,
1860237N28283,1860,1860-08-24 00:00:00,28.2,-77.1,TS,1860-08-25 12:00:00,35.8,-72.1,90.0
1860245N20333,1860,1860-08-31 12:00:00,20.5,-27.5,TS,,,,
1860247N13298,1860,1860-09-02 12:00:00,12.5,-62.3,TS,1860-09-11 12:00:00,40.0,-51.0,70.0
1860252N18284,1860,1860-09-07 12:00:00,17.5,-76.2,TS,1860-09-11 00:00:00,24.6,-83.5,90.0
1860258N14336,1860,1860-09-14 00:00:00,14.4,-24.0,TS,,,,
1860259N27296,1860,1860-09-14 12:00:00,26.5,-64.5,TS,,,,
1860262N22294,1860,1860-09-18 00:00:00,22.2,-66.1,TS,1860-09-19 12:00:00,26.0,-70.0,60.0
1860267N12318,1860,1860-09-23 00:00:00,12.0,-41.6,TS,,,,
1860269N20266,1860,1860-09-24 12:00:00,19.5,-93.8,TS,1860-10-02 06:00:00,28.1,-91.7,90.0
1860289N14290,1860,1860-10-15 06:00:00,13.8,-69.6,TS,1860-10-23 00:00:00,31.0,-72.6,90.0
1860336S08087,1861,1860-12-01 06:00:00,-8.3,86.8,NR,,,,
1860336S09086,1861,1860-12-01 06:00:00,-8.8,85.6,NR,,,,
1861011S17051,1861,1861-01-11 06:00:00,-17.0,50.6,NR,,,,
1861011S17411,1861,1861-01-11 06:00:00,-17.2,51.1,NR,,,,
1861021S13086,1861,1861-01-21 06:00:00,-13.1,86.1,NR,,,,
1861021S13446,1861,1861-01-21 06:00:00,-13.2,85.8,NR,,,,
1861039S10077,1861,1861-02-07 18:00:00,-9.9,76.9,NR,,,,
1861042S10077,1861,1861-02-11 06:00:00,-9.7,77.1,NR,,,,
1861042S16062,1861,1861-02-11 06:00:00,-15.8,62.1,NR,,,,
1861046S16062,1861,1861-02-14 18:00:00,-16.0,62.0,NR,,,,
1861052S08069,1861,1861-02-21 06:00:00,-8.3,69.0,NR,,,,
1861070S11100,1861,1861-03-11 06:00:00,-11.3,100.1,NR,,,,
1861091S07085,1861,1861-03-31 18:00:00,-7.0,84.7,NR,,,,
1861101S09083,1861,1861-04-10 18:00:00,-9.3,83.1,NR,,,,
1861101S09084,1861,1861-04-11 06:00:00,-9.2,83.5,NR,,,,
1861185N15303,1861,1861-07-04 00:00:00,14.5,-56.8,TS,1861-07-10 12:00:00,29.1,-70.8,90.0
1861202N37285,1861,1861-07-20 12:00:00,36.5,-75.0,ET,,,,
1861210N15276,1861,1861-07-28 12:00:00,15.2,-84.0,TS,,,,
1861221N13316,1861,1861-08-09 06:00:00,12.5,-44.0,TS,,,,
1861226N21290,1861,1861-08-13 12:00:00,20.5,-70.0,TS,1861-08-15 00:00:00,23.2,-78.7,80.0
1861237N35296,1861,1861-08-24 12:00:00,34.5,-64.0,TS,1861-08-29 00:00:00,41.5,-45.5,90.0
1861254N19314,1861,1861-09-11 00:00:00,19.0,-46.3,TS,,,,
1861255N13337,1861,1861-09-11 12:00:00,13.5,-23.4,TS,,,,
1861261N29310,1861,1861-09-17 12:00:00,28.5,-50.0,TS,1861-09-17 12:00:00,28.5,-50.0,70.0
1861266N20269,1861,1861-09-22 12:00:00,20.0,-91.5,TS,,,,
1861270N29283,1861,1861-09-27 06:00:00,28.5,-77.5,TS,1861-09-27 06:00:00,28.5,-77.5,70.0
1861275N19299,1861,1861-10-01 12:00:00,18.7,-61.0,TS,,,,
1861277N15320,1861,1861-10-03 12:00:00,15.0,-40.0,TS,,,,
1861279N20314,1861,1861-10-06 00:00:00,20.0,-46.0,TS,1861-10-06 00:00:00,20.0,-46.0,60.0
1861281N35285,1861,1861-10-07 12:00:00,35.3,-75.3,TS,1861-10-07 12:00:00,35.3,-75.3,50.0
1861290N25292,1861,1861-10-16 12:00:00,25.0,-68.5,TS,,,,
1861304N25267,1861,1861-10-31 00:00:00,24.5,-93.5,TS,,,,
1861305N26278,1861,1861-11-01 06:00:00,25.5,-82.1,TS,1861-11-02 00:00:00,31.2,-78.6,70.0
1861305S10085,1862,1861-10-31 18:00:00,-9.7,85.2,NR,,,,
1861315S10085,1862,1861-11-11 06:00:00,-9.7,85.0,NR,,,,
1861355S05087,1862,1861-12-21 06:00:00,-5.4,86.8,NR,,,,
1861355S06087,1862,1861-12-20 18:00:00,-5.5,86.7,NR,,,,
1861355S11068,1862,1861-12-20 18:00:00,-11.0,68.3,NR,,,,
1862001S12081,1862,1862-01-01 06:00:00,-11.9,81.5,NR,,,,
1862001S12104,1862,1862-01-01 06:00:00,-12.4,104.0,NR,,,,
1862001S13103,1862,1862-01-01 06:00:00,-13.1,103.1,NR,,,,
1862011S21051,1862,1862-01-11 06:00:00,-20.9,51.4,NR,,,,
1862021S12055,1862,1862-01-21 06:00:00,-11.9,55.3,NR,,,,
1862052S08080,1862,1862-02-21 06:00:00,-7.8,79.6,NR,,,,
1862052S23092,1862,1862-02-21 06:00:00,-23.4,91.5,NR,,,,
1862060S19101,1862,1862-03-01 00:00:00,-19.3,100.6,NR,,,,
1862070S15063,1862,1862-03-10 18:00:00,-15.0,63.1,NR,,,,
1862080S09082,1862,1862-03-21 06:00:00,-9.2,82.1,NR,,,,
1862080S09442,1862,1862-03-20 18:00:00,-9.3,81.9,NR,,,,
1862147N28285,1862,1862-05-26 12:00:00,27.5,-75.2,SS,,,,
1862166N32284,1862,1862-06-15 00:00:00,32.0,-75.6,TS,1862-06-15 00:00:00,32.0,-75.6,50.0
1862189N28275,1862,1862-07-07 12:00:00,28.0,-85.3,TS,,,,
1862198N27264,1862,1862-07-16 12:00:00,26.7,-96.0,TS,,,,
1862229N24294,1862,1862-08-16 18:00:00,23.9,-65.6,TS,1862-08-18 00:00:00,28.7,-70.7,90.0
1862237N24265,1862,1862-08-24 12:00:00,24.0,-95.2,TS,,,,
1862247N15326,1862,1862-09-03 12:00:00,15.0,-34.5,TS,,,,
1862251N15325,1862,1862-09-08 00:00:00,15.0,-34.8,TS,1862-09-15 00:00:00,26.7,-69.0,90.0
1862255N26286,1862,1862-09-12 00:00:00,25.8,-73.8,TS,,,,
1862274S04058,1863,1862-09-30 18:00:00,-4.0,58.4,NR,,,,
1862275N12308,1862,1862-10-01 12:00:00,12.2,-52.5,TS,,,,
1862279N13299,1862,1862-10-06 00:00:00,13.0,-61.0,TS,1862-10-06 00:00:00,13.0,-61.0,50.0
1862284S04059,1863,1862-10-11 06:00:00,-3.6,59.0,NR,,,,
1862287N33290,1862,1862-10-14 00:00:00,33.0,-69.6,TS,1862-10-14 00:00:00,33.0,-69.6,70.0
1862305S12062,1863,1862-10-31 18:00:00,-12.3,61.8,NR,,,,
1862315S12062,1863,1862-11-11 06:00:00,-12.1,61.8,NR,,,,
1862326N11280,1862,1862-11-21 12:00:00,10.5,-80.0,TS,1862-11-22 00:00:00,10.5,-79.7,60.0
1862345S07089,1863,1862-12-10 18:00:00,-7.0,89.4,NR,,,,
1862345S07090,1863,1862-12-11 06:00:00,-6.8,90.2,NR,,,,
1863011S11055,1863,1863-01-11 06:00:00,-10.5,55.1,NR,,,,
1863011S12055,1863,1863-01-11 06:00:00,-11.6,54.7,NR,,,,
1863032S12059,1863,1863-02-01 06:00:00,-12.1,59.3,NR,,,,
1863032S13061,1863,1863-02-01 06:00:00,-12.7,61.1,NR,,,,
1863032S14058,1863,1863-02-01 06:00:00,-14.0,57.8,NR,,,,
1863039S13061,1863,1863-02-07 18:00:00,-13.0,60.6,NR,,,,
1863042S15073,1863,1863-02-11 06:00:00,-14.8,72.8,NR,,,,
1863046S15073,1863,1863-02-14 18:00:00,-14.9,72.5,NR,,,,
1863111S13081,1863,1863-04-20 18:00:00,-13.1,80.5,NR,,,,
1863121S07089,1863,1863-04-30 18:00:00,-7.3,88.8,NR,,,,
1863141S07089,1863,1863-05-21 06:00:00,-7.0,89.1,NR,,,,
1863145N27272,1863,1863-05-24 18:00:00,27.0,-88.0,TS,,,,
1863217N35284,1863,1863-08-05 06:00:00,34.5,-76.0,ET,,,,
1863220N38309,1863,1863-08-08 00:00:00,37.7,-50.8,TS,1863-08-08 00:00:00,37.7,-50.8,90.0
1863228N26299,1863,1863-08-15 12:00:00,25.5,-61.5,TS,,,,
1863230N39302,1863,1863-08-18 00:00:00,39.4,-58.5,TS,1863-08-18 00:00:00,39.4,-58.5,90.0
1863231N27293,1863,1863-08-19 00:00:00,26.5,-66.6,TS,1863-08-20 12:00:00,30.5,-72.6,90.0
1863239N31281,1863,1863-08-26 18:00:00,31.3,-78.7,TS,1863-08-27 00:00:00,30.7,-77.3,90.0
1863248N11308,1863,1863-09-05 00:00:00,10.5,-52.5,TS,1863-09-09 12:00:00,21.3,-62.3,70.0
1863255N15300,1863,1863-09-11 12:00:00,14.5,-59.8,TS,1863-09-17 00:00:00,28.8,-80.9,60.0
1863262N23264,1863,1863-09-18 12:00:00,22.5,-96.5,TS,1863-09-18 12:00:00,22.5,-96.5,50.0
1863270N21267,1863,1863-09-26 12:00:00,21.3,-93.5,TS,1863-09-29 00:00:00,28.6,-94.8,60.0
1863270N31290,1863,1863-09-26 12:00:00,31.1,-70.1,TS,1863-09-26 12:00:00,31.1,-70.1,50.0
1863279N21300,1863,1863-10-05 12:00:00,21.0,-59.8,TS,,,,
1863305S12086,1864,1863-10-31 18:00:00,-12.3,86.0,NR,,,,
1863325S12086,1864,1863-11-21 06:00:00,-12.4,86.4,NR,,,,
1863335S17067,1864,1863-11-30 18:00:00,-16.8,66.8,NR,,,,
1864011S06081,1864,1864-01-11 06:00:00,-6.4,80.9,NR,,,,
1864011S07080,1864,1864-01-11 06:00:00,-7.1,79.6,NR,,,,
1864052S14079,1864,1864-02-21 06:00:00,-13.9,78.8,NR,,,,
1864052S15067,1864,1864-02-21 06:00:00,-15.4,67.3,NR,,,,
1864102S07069,1864,1864-04-10 18:00:00,-7.1,69.0,NR,,,,
1864112S09075,1864,1864-04-21 06:00:00,-9.3,75.3,NR,,,,
